area_type,location,total_sqft,size,bath,balcony,price
Super built-up  Area,Electronic City Phase II,1056,2,2,1,39.07
Plot  Area,Chikka Tirupathi,2600,4,5,3,120
Built-up  Area,Uttarahalli,1440,3,2,3,62
Super built-up  Area,Lingadheeranahalli,1521,3,3,1,95
Super built-up  Area,Kothanur,1200,2,2,1,51
Super built-up  Area,Whitefield,1170,2,2,1,38
Super built-up  Area,Old Airport Road,2732,4,4,1,204
Super built-up  Area,Rajaji Nagar,3300,4,4,1,600
Super built-up  Area,Marathahalli,1310,3,3,1,63.25
Plot  Area,Gandhi Bazar,1020,6,6,1,370
Super built-up  Area,Whitefield,1800,3,2,2,70
Plot  Area,Whitefield,2785,4,5,3,295
Super built-up  Area,7th Phase JP Nagar,1000,2,2,1,38
Built-up  Area,Gottigere,1100,2,2,2,40
Plot  Area,Sarjapur,2250,3,3,2,148
Super built-up  Area,Mysore Road,1175,2,2,2,73.5
Super built-up  Area,Bisuvanahalli,1180,3,3,2,48
Super built-up  Area,Raja Rajeshwari Nagar,1540,3,3,3,60
Super built-up  Area,Ramakrishnappa Layout,2770,3,4,2,290
Super built-up  Area,Manayata Tech Park,1100,2,2,2,48
Built-up  Area,Kengeri,600,1,1,1,15
Super built-up  Area,Binny Pete,1755,3,3,1,122
Plot  Area,Thanisandra,2800,4,5,2,380
Super built-up  Area,Bellandur,1767,3,3,1,103
Super built-up  Area, Thanisandra,510,1,1,0,25.25
Super built-up  Area,Mangammanapalya,1250,3,3,2,56
Super built-up  Area,Electronic City,660,2,1,1,23.1
Built-up  Area,Whitefield,1610,3,3,2,81
Super built-up  Area,Ramagondanahalli,1151,2,2,2,48.77
Super built-up  Area,Electronic City,1025,3,2,1,47
Super built-up  Area,Yelahanka,2500,4,4,0,186
Super built-up  Area,Bisuvanahalli,1075,3,2,1,35
Super built-up  Area,Hebbal,1760,3,2,2,123
Super built-up  Area,Raja Rajeshwari Nagar,1693,3,3,3,57.39
Built-up  Area,Kasturi Nagar,1925,3,3,1,125
Super built-up  Area,Kanakpura Road,700,2,2,1,36
Super built-up  Area,Electronics City Phase 1,1070,2,2,1,45.5
Super built-up  Area,Kundalahalli,1724,3,3,2,125
Super built-up  Area,Chikkalasandra,1290,3,2,2,56.12
Built-up  Area,Uttarahalli,1143,2,2,2,45
Built-up  Area,Murugeshpalya,1296,2,2,1,81
Super built-up  Area,Sarjapur  Road,1254,3,3,2,38
Super built-up  Area,Ganga Nagar,600,1,1,0,38
Plot  Area,Yelahanka,660,1,1,0,48
Super built-up  Area,Kanakpura Road,1330,2,2,2,91.79
Plot  Area,HSR Layout,600,8,9,1,200
Super built-up  Area,Doddathoguru,970,2,2,0,33
Super built-up  Area,Whitefield,1459,2,2,1,94.82
Plot  Area,KR Puram,800,2,1,1,130
Built-up  Area,Himagiri Meadows,869,2,2,1,36
Super built-up  Area,Adarsh Nagar,1270,2,2,1,50
Super built-up  Area,Bhoganhalli,1670,3,3,1,99
Built-up  Area,Whitefield,2010,3,3,2,91
Super built-up  Area,Lakshminarayana Pura,1185,2,2,2,75
Super built-up  Area,Yelahanka,1600,3,2,3,75
Super built-up  Area,Begur Road,1200,2,2,2,44
Built-up  Area,Devanahalli,3200,4,2,1,192
Super built-up  Area,Ramakrishnappa Layout,1500,2,2,2,185
Plot  Area,Murugeshpalya,1407,6,4,1,150
Super built-up  Area,Govindaraja Nagar Ward,840,2,2,2,45
Plot  Area,Tharabanahalli,4395,3,3,2,240
Super built-up  Area,Ganga Nagar,845,2,2,1,55
